question	answer
there's a new girl in school, have you seen her yet?	i haven't seen her yet.
i haven't seen her yet.	i think that she is very pretty.
i think that she is very pretty.	tell me how she looks.
tell me how she looks.	she's kind of short.
she's kind of short.	what height is she?
what height is she?	she's probably about five feet.
she's probably about five feet.	that's nice, but tell me what she looks like.
that's nice, but tell me what she looks like.	the first thing i noticed was her beautiful brown eyes.
the first thing i noticed was her beautiful brown eyes.	i think i might've bumped into her before.
i think i might've bumped into her before.	are you telling me that you've seen her before?
are you telling me that you've seen her before?	i believe so.
have you met the new girl?	no. have you?
no. have you?	she's one of the prettiest girls at the school.
she's one of the prettiest girls at the school.	what does she look like?
what does she look like?	well, she's quite short.
well, she's quite short.	how tall would you say that she is?
how tall would you say that she is?	i would say she's only five feet.
i would say she's only five feet.	what about her facial features?
what about her facial features?	she has light brown eyes, absolutely beautiful.
she has light brown eyes, absolutely beautiful.	i think i know who you're talking about.
i think i know who you're talking about.	have you seen her?
why weren't you at school yesterday?	i wasn't really feeling well.
i wasn't really feeling well.	what was wrong with you?
what was wrong with you?	my stomach was upset.
my stomach was upset.	do you feel better now?
do you feel better now?	i don't really feel too well yet.
i don't really feel too well yet.	do you want anything to make you feel better?
do you want anything to make you feel better?	no, thanks. i already took some medicine.
no, thanks. i already took some medicine.	i hope you feel better.
i hope you feel better.	thank you.
what reason do you have for missing school?	i was sick.
i was sick.	how were you sick?
how were you sick?	i had a stomachache.
i had a stomachache.	did it get any better?
did it get any better?	i'm still feeling under the weather.
i'm still feeling under the weather.	would you like anything for your stomach?
would you like anything for your stomach?	i took something earlier.
i took something earlier.	get better.
get better.	thanks a lot.
why didn't you go to school yesterday?	i stayed home because i wasn't feeling well.
i stayed home because i wasn't feeling well.	what was your problem?
what was your problem?	my stomach was bothering me.
my stomach was bothering me.	are you feeling any better?
are you feeling any better?	i'm still feeling a little sick.
i'm still feeling a little sick.	i'm going to the store, would you like any pepto bismol?
i'm going to the store, would you like any pepto bismol?	that's okay.
that's okay.	i hope you feel better.
did you hear the good news?	no, i haven't.
no, i haven't.	i got a promotion at my job.
i got a promotion at my job.	did you really?
did you really?	seriously, i am so excited.
seriously, i am so excited.	well, congratulations.
well, congratulations.	thank you.
thank you.	i'm so happy for you.
i'm so happy for you.	really?
really?	yes. you really deserved this.
yes. you really deserved this.	you think so?
you think so?	yes. good for you.
have you heard my good news?	you haven't told me anything yet.
you haven't told me anything yet.	i got a promotion at work earlier this week.
i got a promotion at work earlier this week.	is that right?
is that right?	it's the truth. i am really happy.
it's the truth. i am really happy.	congratulations on your promotion.
congratulations on your promotion.	thank you very much.
thank you very much.	i am really excited for you.
i am really excited for you.	are you really?
are you really?	i'm serious. you deserved this promotion.
i'm serious. you deserved this promotion.	is that what you really think?
is that what you really think?	yes, i do.
i haven't told you what happened yet, have i?	i haven't heard anything.
i haven't heard anything.	my boss offered me a promotion, and i took it.
my boss offered me a promotion, and i took it.	are you serious?
are you serious?	yes, i am really excited.
yes, i am really excited.	that's great. congratulations.
that's great. congratulations.	i appreciate that.
i appreciate that.	you have no idea how happy i am for you.
you have no idea how happy i am for you.	for real?
you look really nice today. 	thank you. i just got this outfit the other day.
thank you. i just got this outfit the other day.	really, where did you get it?
really, where did you get it?	i got it from macy's.
i got it from macy's.	it's really nice.
it's really nice.	thanks again. you look nice today, too.
thanks again. you look nice today, too.	thank you. i just got these shoes today.
thank you. i just got these shoes today.	really? what kind of shoes are they?
really? what kind of shoes are they?	these are called all star chuck taylors.
these are called all star chuck taylors.	i really like those. how much did they cost?
i really like those. how much did they cost?	they were about forty dollars.
they were about forty dollars.	i think i'm going to go buy myself a pair.
i absolutely love what you're wearing today.	you do? i just bought this outfit a couple days ago.
you do? i just bought this outfit a couple days ago.	seriously, it looks really nice on you. where did you buy it from?
seriously, it looks really nice on you. where did you buy it from?	i bought it from the macy's at the santa anita mall.
i bought it from the macy's at the santa anita mall.	i really like that outfit.
i really like that outfit.	thanks. i think you look nice today, too.
thanks. i think you look nice today, too.	thank you. i just bought these new shoes earlier today.
thank you. i just bought these new shoes earlier today.	those are nice. what are they?
those are nice. what are they?	these are some chucks.
these are some chucks.	those are great. how much were they?
those are great. how much were they?	i got them for forty.
i got them for forty.	i think i might go and find me my own pair of chucks.
i think that you look very cute today.	is that right? this is a brand new outfit.
is that right? this is a brand new outfit.	what store did you get it from?
what store did you get it from?	i went to macy's and picked it out.
i went to macy's and picked it out.	i love your outfit right now.
i love your outfit right now.	well, i think you look nice today too.
well, i think you look nice today too.	thanks. i found these new shoes earlier at the store.
thanks. i found these new shoes earlier at the store.	i think that those are some really nice shoes. what kind are they?
i think that those are some really nice shoes. what kind are they?	these are chucks.
these are chucks.	your shoes look really nice. how much did you get them for?
your shoes look really nice. how much did you get them for?	they only cost me about forty dollars.
tell me, what do you enjoy doing in your spare time?	i enjoy drawing and painting.
i enjoy drawing and painting.	you know how to draw and paint?
you know how to draw and paint?	yes, i do.
yes, i do.	when did you learn how to do that?
when did you learn how to do that?	i learned back in high school.
i learned back in high school.	oh, so you took an art class?
oh, so you took an art class?	yeah, i loved that class.
yeah, i loved that class.	i see that you're pretty talented.
i see that you're pretty talented.	thank you very much.
thank you very much.	i wish i had a talent like that.
i wish i had a talent like that.	i'm sure you have a talent. it's just hidden.
what kinds of things do you like to do?	i've always liked to draw and paint.
i've always liked to draw and paint.	i didn't know you knew how to draw and paint.
i didn't know you knew how to draw and paint.	i do it every once in a while.
i do it every once in a while.	how long have you known how to do that?
how long have you known how to do that?	i first learned how to do it in high school.
i first learned how to do it in high school.	did you take some sort of art class or something?
did you take some sort of art class or something?	that was my favorite class.
that was my favorite class.	you have got to be talented.
you have got to be talented.	thanks.
thanks.	if only i was talented.
if only i was talented.	you have a talent. you just don't know what it is yet.
are there any hobbies you do?	when i have time, i sometimes draw and paint.
when i have time, i sometimes draw and paint.	oh, you actually do that?
oh, you actually do that?	every so often, i do.
every so often, i do.	did you always know how to draw and paint?
did you always know how to draw and paint?	i was taught in high school how to draw and paint.
i was taught in high school how to draw and paint.	you had an art class?
you had an art class?	exactly, it was my favorite class.
exactly, it was my favorite class.	well, it's good that you're so talented.
well, it's good that you're so talented.	i appreciate that.
i appreciate that.	talent is a great thing, i wish i had one.
what's your favorite movie?	my favorite movie is superbad.
my favorite movie is superbad.	oh, why is that?
oh, why is that?	it's the funniest movie that i've ever seen.
it's the funniest movie that i've ever seen.	that's true. it is a very funny movie.
that's true. it is a very funny movie.	you've seen it before? 
you've seen it before? 	yes, i saw that movie the first day it came out in theaters.
yes, i saw that movie the first day it came out in theaters.	didn't you laugh through the whole movie? i did.
didn't you laugh through the whole movie? i did.	me too. that movie brought tears to my eyes.
me too. that movie brought tears to my eyes.	mine too.
mine too.	i have it on dvd at my house if you want to come over and watch it.
i have it on dvd at my house if you want to come over and watch it.	sure, let's go.
which movie is your favorite to watch?	i have to say, my favorite movie is superbad.
i have to say, my favorite movie is superbad.	is that right? why?
is that right? why?	honestly, it is one of the funniest movies i've seen in a long time.
honestly, it is one of the funniest movies i've seen in a long time.	you're right. that movie is hilarious.
you're right. that movie is hilarious.	i didn't think you saw that movie.
i didn't think you saw that movie.	i went to see it the day it came out.
i went to see it the day it came out.	i was laughing through the whole movie.
i was laughing through the whole movie.	i couldn't help laughing, either. 
i couldn't help laughing, either. 	same here.
same here.	i bought the movie. would you like to come to my house and watch it?
i bought the movie. would you like to come to my house and watch it?	of course.
out of every movie that you've seen, which one is your favorite?	i'm going to have to say that superbad is the best movie ever.
i'm going to have to say that superbad is the best movie ever.	you think so, how come?
you think so, how come?	well, superbad is super funny.
well, superbad is super funny.	you're not lying, i found that movie absolutely hilarious.
you're not lying, i found that movie absolutely hilarious.	i didn't know that you saw superbad before.
i didn't know that you saw superbad before.	i made sure to be in line to see it the first day it came out.
i made sure to be in line to see it the first day it came out.	i couldn't keep from laughing throughout the whole movie.
i couldn't keep from laughing throughout the whole movie.	i was laughing hysterically the whole time; my stomach muscles hurt afterwards.
i was laughing hysterically the whole time; my stomach muscles hurt afterwards.	that's exactly how i felt.
that's exactly how i felt.	i got the movie when it came out on dvd, do you want to come over?
what type of music do you like to listen to?	i like listening to different kinds of music.
i like listening to different kinds of music.	like what, for instance?
like what, for instance?	i enjoy rock and r&b.
i enjoy rock and r&b.	why is that?
why is that?	i like the different instruments that they use.
i like the different instruments that they use.	that's a good reason to like something.
that's a good reason to like something.	yeah, i think so too.
what kind of music do you enjoy listening to?	i enjoy listening to all kinds of music.
i enjoy listening to all kinds of music.	what kind?
what kind?	i like to listen to rock and r&b.
i like to listen to rock and r&b.	why do you like that type of music?
why do you like that type of music?	i like the kinds of instruments that they use.
i like the kinds of instruments that they use.	i think that's an excellent reason to like something.
i think that's an excellent reason to like something.	thanks, i feel the same way.
what is your favorite kind of music?	i listen to various types of music.
i listen to various types of music.	what genres?
what genres?	i enjoy listening to both rock and r&b.
i enjoy listening to both rock and r&b.	what interests you in that type of music?
what interests you in that type of music?	i enjoy the different types of instruments that they use.
i enjoy the different types of instruments that they use.	that is a perfect reason to like a certain kind of music.
did you go to the basketball game on friday?	no, i couldn't make it.
no, i couldn't make it.	you missed a really good game.
you missed a really good game.	oh, really? who won?
oh, really? who won?	our school did. they played really well.
our school did. they played really well.	too bad i was busy. i really wanted to go.
too bad i was busy. i really wanted to go.	yeah, you should have. it was really exciting.
yeah, you should have. it was really exciting.	so what was the score?
so what was the score?	the score was 101-98.
the score was 101-98.	man, that was a really close game.
man, that was a really close game.	that's what made it so great.
that's what made it so great.	i'll make sure and make it to the next one.
were you able to attend friday night's basketball game?	i was unable to make it.
i was unable to make it.	you should have been there. it was intense.
you should have been there. it was intense.	is that right. who ended up winning?
is that right. who ended up winning?	our team was victorious.
our team was victorious.	i wish i was free that night. i'm kind of mad that i didn't go.
i wish i was free that night. i'm kind of mad that i didn't go.	it was a great game.
it was a great game.	what was the score at the end of the game?
what was the score at the end of the game?	our team won 101-98.
our team won 101-98.	sounds like it was a close game.
sounds like it was a close game.	that's the reason it was such a great game.
that's the reason it was such a great game.	the next game, i will definitely be there.
i was meaning to ask you if you saw the basketball game on friday.	i wanted to go, but i couldn't.
i wanted to go, but i couldn't.	it was a great game.
it was a great game.	it's too bad that i couldn't make it. who won?
it's too bad that i couldn't make it. who won?	our team played hard and won.
our team played hard and won.	i really wish i went to the game.
i really wish i went to the game.	it was the best game ever.
it was the best game ever.	so tell me the final score.
so tell me the final score.	the other team lost by three points, 101-98. 
the other team lost by three points, 101-98. 	it must've been a close game.
it must've been a close game.	it really was. you should've gone.
what are you doing this weekend?	i'm going to the movies with a friend. how about you?
i'm going to the movies with a friend. how about you?	i'm not sure yet.
i'm not sure yet.	well, did you want to go see a movie with me?
well, did you want to go see a movie with me?	what movie are you going to see?
what movie are you going to see?	i'm not sure yet. is there something you want to see?
i'm not sure yet. is there something you want to see?	there's nothing i can think of.
there's nothing i can think of.	so, did you want to go?
so, did you want to go?	no, thanks, maybe another time.
no, thanks, maybe another time.	okay, sounds good.
do you know what you're going to do this weekend?	i am going to see a movie with a friend of mine. what about you?
i am going to see a movie with a friend of mine. what about you?	i don't know.
i don't know.	would you like to see a movie with me and my friend?
would you like to see a movie with me and my friend?	do you know what movie you're going to watch?
do you know what movie you're going to watch?	i don't know, but was there a certain movie you wanted to see?
i don't know, but was there a certain movie you wanted to see?	none that i can think of.
none that i can think of.	well, would you like to go?
well, would you like to go?	thank you for inviting me, but i think i'll pass.
thank you for inviting me, but i think i'll pass.	all right. another time then.
you have any ideas as to what you want to do this weekend?	i'm going to the movie theater with my friend. what are you going to do?
i'm going to the movie theater with my friend. what are you going to do?	i'm not quite sure yet.
i'm not quite sure yet.	how about you see a movie with me and my friend?
how about you see a movie with me and my friend?	what movie are you and your friend planning on watching?
what movie are you and your friend planning on watching?	not sure. is there a movie out that catches your eye?
not sure. is there a movie out that catches your eye?	no good movies come to mind.
no good movies come to mind.	have you decided whether or not you would like to go?
have you decided whether or not you would like to go?	no, thanks. maybe another time.
did you go to school today?	yeah, i went to school today. were you there?
yeah, i went to school today. were you there?	no, i didn't go, i've been sick.
no, i didn't go, i've been sick.	that sucks. did you want the assignments from english class?
that sucks. did you want the assignments from english class?	that would be nice, thank you.
that would be nice, thank you.	no problem, you're welcome.
no problem, you're welcome.	i will be glad to do the same for you when you're sick.
i will be glad to do the same for you when you're sick.	well, thank you. i hope to see you at school tomorrow.
have you attended school today?	i attended school today. did you?
i attended school today. did you?	i wasn't able to attend school because i was feeling ill.
i wasn't able to attend school because i was feeling ill.	i'm sorry to hear that. would you like the assignments from english class?
i'm sorry to hear that. would you like the assignments from english class?	i would really appreciate that, thanks.
i would really appreciate that, thanks.	it's no trouble at all.
it's no trouble at all.	if you get sick, i'll return the favor.
if you get sick, i'll return the favor.	thanks. see you at school tomorrow if you feel better.
have you gone to school today?	i went to school today. did you go to school?
i went to school today. did you go to school?	i couldn't go to school today, i was sick.
i couldn't go to school today, i was sick.	that's horrible. i'd be happy to give you the assignments from english class.
that's horrible. i'd be happy to give you the assignments from english class.	thank you very much, that's kind of you.
thank you very much, that's kind of you.	don't mention it.
don't mention it.	when you miss a day of school, i'll be happy to give you the english assignments.
did you hear the news?	what happened?
what happened?	our cousin went into labor and had her baby last week.
our cousin went into labor and had her baby last week.	she did? why didn't anyone tell me?
she did? why didn't anyone tell me?	i would've thought that somebody would have told you.
i would've thought that somebody would have told you.	no, i had no idea.
no, i had no idea.	well, she did, her baby was 8 pounds 6 ounces.
well, she did, her baby was 8 pounds 6 ounces.	oh my god, that's great!
oh my god, that's great!	are you going to go and visit her and the baby?
are you going to go and visit her and the baby?	i think that i might.
i think that i might.	good! i just thought i'd let you know.
good! i just thought i'd let you know.	thanks for telling me.
have you heard what happened?	heard what?
heard what?	debrah already had her baby.
debrah already had her baby.	i didn't know that.
i didn't know that.	i thought you knew.
i thought you knew.	i honestly didn't know.
i honestly didn't know.	the baby was 8 pounds 6 ounces.
the baby was 8 pounds 6 ounces.	that's good to hear.
that's good to hear.	will you go and visit them?
will you go and visit them?	of course i will.
of course i will.	i just wanted to give you the good news.
i just wanted to give you the good news.	thanks for letting me know.
have you heard the news?	i haven't heard anything.
i haven't heard anything.	debrah had her baby last week.
debrah had her baby last week.	nobody told me.
nobody told me.	i thought you heard.
i thought you heard.	i really wasn't told anything.
i really wasn't told anything.	she was a cute 8 pounds 6 ounces.
she was a cute 8 pounds 6 ounces.	wow, how exciting.
wow, how exciting.	i know, you should really go and see her and the baby.
i know, you should really go and see her and the baby.	of course i will.
of course i will.	i just wanted to let you know what happened.
did you go to school today?	of course. did you?
of course. did you?	i didn't want to, so i didn't.
i didn't want to, so i didn't.	that's sad, but have you gone to the movies recently?
that's sad, but have you gone to the movies recently?	that's a switch.
that's a switch.	i'm serious, have you?
i'm serious, have you?	no, i haven't. why?
no, i haven't. why?	i really want to go to the movies this weekend.
i really want to go to the movies this weekend.	so go then.
so go then.	i really don't want to go by myself.
i really don't want to go by myself.	well anyway, do you plan on going to school tomorrow?
well anyway, do you plan on going to school tomorrow?	no, i think i'm going to go to the movies.
did you make it to school today?	i always do. did you go to school today?
i always do. did you go to school today?	no, i didn't.
no, i didn't.	you should have, but have you seen any movies lately?
you should have, but have you seen any movies lately?	that was an odd change of subject.
that was an odd change of subject.	maybe it was, but answer the question.
maybe it was, but answer the question.	no, not recently.
no, not recently.	i want to go to see a movie this weekend.
i want to go to see a movie this weekend.	what's stopping you then?
what's stopping you then?	i don't want to go alone.
i don't want to go alone.	so, will you be at school tomorrow?
so, will you be at school tomorrow?	no, i want to go to the movies instead.
did you even bother to go to school today?	yeah, i went. did you go?
yeah, i went. did you go?	no, i didn't feel like it.
no, i didn't feel like it.	that's nice, have you been to the movies lately?
that's nice, have you been to the movies lately?	no, but that was a random change of subject.
no, but that was a random change of subject.	it may have been random, but have you?
it may have been random, but have you?	i haven't lately.
i haven't lately.	i would love to catch a movie this weekend.
i would love to catch a movie this weekend.	so then, why don't you just go?
so then, why don't you just go?	i don't want to see a movie by myself.
i don't want to see a movie by myself.	okay, so are you going to school tomorrow?
thanks for coming to see me today.	it's no problem. i was really missing you anyway.
it's no problem. i was really missing you anyway.	i missed you too.
i missed you too.	why haven't you tried to come see me then?
why haven't you tried to come see me then?	i've been really busy.
i've been really busy.	doing what?
doing what?	working.
working.	i would've come to see you sooner, but i've been busy too.
i would've come to see you sooner, but i've been busy too.	what have you been doing?
what have you been doing?	i've been working too.
i've been working too.	well regardless, i'm very happy that you came to see me.
well regardless, i'm very happy that you came to see me.	i am too.
i'm really glad that you came to see me.	i had to. i was missing you a lot.
i had to. i was missing you a lot.	i was missing you too.
i was missing you too.	so, why haven't you visited me?
so, why haven't you visited me?	i've actually been busy lately.
i've actually been busy lately.	what have you been doing?
what have you been doing?	i've just been working really hard.
i've just been working really hard.	i've also been busy.
i've also been busy.	tell me what you've been doing.
tell me what you've been doing.	basically, i've been working too.
basically, i've been working too.	well whatever, i'm glad you came.
well whatever, i'm glad you came.	so am i.
i'm really happy that you came to visit me.	i really missed you a lot.
i really missed you a lot.	i've been missing you like crazy.
i've been missing you like crazy.	i don't understand why you haven't come to visit me.
i don't understand why you haven't come to visit me.	lately, i've been quite busy.
lately, i've been quite busy.	tell me what you've been up to.
tell me what you've been up to.	i've really been working a lot lately.
i've really been working a lot lately.	i've been pretty busy myself.
i've been pretty busy myself.	so what have you been up to?
so what have you been up to?	i've just been working a lot.
i've just been working a lot.	whatever the reason may be, i'm glad you visited me.
hey, did you hear about jessica's party this weekend?	yeah, but i'm still waiting for my invitation.
yeah, but i'm still waiting for my invitation.	oh really? she gave me mine earlier today.
oh really? she gave me mine earlier today.	well, she'll probably just give me my invitation later on today.
well, she'll probably just give me my invitation later on today.	yeah, so are you planning on going?
yeah, so are you planning on going?	i think so. it sounds like it's going to be a lot of fun.
i think so. it sounds like it's going to be a lot of fun.	it really does, i can't wait.
it really does, i can't wait.	what time does the party start?
what time does the party start?	it starts at 8 o'clock.
it starts at 8 o'clock.	oh, well, how many people has she given invites to so far?
oh, well, how many people has she given invites to so far?	i'm not sure, but i don't think she's given out that many.
i'm not sure, but i don't think she's given out that many.	well, hopefully she'll give me my invite later on today.
have you heard about jessica's party on saturday?	i've heard about it, but i'm still waiting for my invitation.
i've heard about it, but i'm still waiting for my invitation.	really? i got mine from her this morning.
really? i got mine from her this morning.	i'm guessing that she's going to give me my invite today or tomorrow.
i'm guessing that she's going to give me my invite today or tomorrow.	you're probably right, do you intend on going to the party?
you're probably right, do you intend on going to the party?	i want to. i heard it's going to be really fun.
i want to. i heard it's going to be really fun.	i know, it does sound pretty awesome.
i know, it does sound pretty awesome.	well, when does the party start?
well, when does the party start?	it's supposed to start at about eight.
it's supposed to start at about eight.	how many invitations has she given out?
how many invitations has she given out?	i really don't know, but i don't think she gave out that many yet.
i really don't know, but i don't think she gave out that many yet.	i really want to go, so i hope that she gives me my invite soon.
has anyone told you about jessica's party coming up?	i was told about it already. i'm just waiting for my invitation.
i was told about it already. i'm just waiting for my invitation.	is that right? i already got my invitation from her earlier.
